author;comment;;;;;;;;;;;;;;;;
@misterkento6651;Aku orang Jawa tengah...bangga dengan program KDM .;;;;;;;;;;;;;;;;
@NiaAgustin-j3x;Saya orang Jawa Timur. Ingin gubernur seperti bapak. Bisa di tukar apa tidak;;;;;;;;;;;;;;;;
@JokoBonek;Ini program KDM yg harus di contoh;;;;;;;;;;;;;;;;
@Arieschannel445;Cm di Indonesia doang anak SD smpe SMA pd pake HP ?? sklh Jepang disiplin tinggi smua jln kaki klw sklh dan tdk ada yg punya hp;;;;;;;;;;;;;;;;
@iful.2957;ma syaah allah KDM;;;;;;;;;;;;;;;;
@inarahma7391;Jujur aku sangat bangga sebagai singel Peren ada anak 3 cowok semua no 1 dewasa dh rumah tangga gagal kerja serabutan no 2 blm nikah sudah gagal di didik sekarang ndekam di lapas no 3 sekolah BS klas 11 nilai pelajaran kurang baik sudah kecanduan rokok dan miras kemaren baru kecelakaan tidak masuk sekolah selama 2 bln karna lumayan parah motor hancur sekarang sudah sekolah Lagi Alhamdulillah ;;;;;;;;;;;;;;;;
Tpi masih malas bangun tepat waktu dan gak beribadah ;;;;;;;;;;;;;;;;;
Klo aku pengin masuk ke barak militer biar pendidikan terjamin seperti di video ini di pimpin pa Dedi Mulyadi pa gubernur jawa barat sungguh luar biasa terharu ;;;;;;;;;;;;;;;;;
"Ijin share ini agar anak ku bisa mengikuti pa Dedi Mulyadi pa gubernur jawa barat ????????""";;;;;;;;;;;;;;;;;
@MahmudGrp;Masya Allah.kang Dedi mulyadi mantaaap.cocook.jabar punya gubernur.semoga JD contoh.amiin;;;;;;;;;;;;;;;;
@ChikoPng;Terimakasih Pak KDM progam bapak bikin karakter Anak bangsa jadi berubah lebih baik aminn semoga. ;;;;;;;;;;;;;;;;
Semoga menjadi contoh buat kota2 lainnya. Terimakasih Juga TNI. TNI BERSAMA MASYARAKAT.. BRAVOO !!!!;;;;;;;;;;;;;;;;;
"NKRI HARGA MATI !!!""";;;;;;;;;;;;;;;;;
@endangsuherman6596;Pak kdm sy punya anak g mau kerja lulus sekolah kerjanya cuma main hp siang malam kadang siang d buat malam malam d buat siang dah kecanduan hp sy mhn gai mn caranya supaya sadar dah dr lulus sekolah 2019 main hp trus g inget masa depan trims;;;;;;;;;;;;;;;;
@Jihan123-e2s;Sangat luar biasa pak dedi????;;;;;;;;;;;;;;;;
@jiddmhmd;Kang Dedi punten izin video nya untuk tugas sekolah??;;;;;;;;;;;;;;;;
@masakecilku7249;busettttttt disuruh ganti ayam kampung, susunya ditambah, seumur hidup baru kali ini liat pemimpin yg benar2 kreatif inovatif dan empati yg sangat besar untuk rakyatnya, heran ni orang datang dari planet mana???;;;;;;;;;;;;;;;;
@masakecilku7249;kasih 7 orang aja pejabat kayak KDM ini di indonesia, pasti semua bakal maju, gak kayak sekarang banyak hal konyol dan korupsi dimana2 dinegara ini...;;;;;;;;;;;;;;;;
